id,customer_text,predicted_intent,route,drafted_reply,grounding,human_overall_1_to_5,human_notes
37,@AmazonHelp Thanks for promptly taking up the request. Have received the product.,other,auto_handle,"@339876 Oh no! Sorry to hear this. We'd like to help. Which Amazon site did you order from? For example: .com, .co.uk, .in.",grounded in 3 past replies (best sim 0.74),1,Customer says product was received/thanks; reply is unrelated and confusing.
38,"@AmazonHelp - With the #SonosOne as an Alexa device, will it be eligible for your $3.99 plan on Unlimited?",prime_membership_issue,escalate,[NO REPLY — ESCALATED],not drafted (escalated),4,Escalation is reasonable for a specific plan/device eligibility question outside reliable taxonomy.
39,"@AmazonHelp If I would have wanted to return I could have done on my own I know the steps I tweeted to show you people the pathetic service of Amazon Sending a form and asking to elaborate is totally a fraud, you should have simply said that return it and take refund #fraudsters",support_process_complaint,escalate,[NO REPLY — ESCALATED],not drafted (escalated),4,Escalation is reasonable for a contentious refund/return complaint; no unsupported answer.
40,You guys are a bunch of fuckin' scum bags charging people for one day shipping then casually saying things will ship 3 days later.,delivery_issue,auto_handle,[NO REPLY — ESCALATED],no similar past case above 0.55 (max 0.54),3,"Escalation due lack of similar evidence is cautious, but customer has a delivery/one-day-shipping complaint that could be handled."
41,Continued. Stop fooling the customers. Do you really try &amp; call .20pm to deliver. #amazonsucks 2/2 https://t.co/IZGvVFi6EN,delivery_issue,auto_handle,"@361233 Deliveries continue through to 21:00. For feedback, please reach us here: https://t.co/JzP7hlA23B",grounded in 3 past replies (best sim 0.66),5,Directly answers delivery hours and provides a feedback/support route.
42,@AmazonHelp Not getting last words about support team. Kindly explain.,support_process_complaint,auto_handle,@512746 This is the amazon social media support team. How can we be of assistance to you?,grounded in 3 past replies (best sim 0.68),4,"Relevant and asks how to assist, though it does not clarify the customer's exact issue."
43,What the hell why aren't customer reviews allowed for Amazon Echo products? I wanted to leave some negative reviews.,support_process_complaint,escalate,[NO REPLY — ESCALATED],not drafted (escalated),4,Escalation is reasonable for product-review policy; avoids inventing policy details.
44,Hey and could you please drop the price of iPhone SE so that I can buy? I just lost my new SE.. :(,support_process_complaint,escalate,[NO REPLY — ESCALATED],not drafted (escalated),3,"Escalation avoids answering a price request without pricing data, but this is arguably a simple informational request."
45,@AmazonHelp someone screwed up as we # never received #notification,support_process_complaint,auto_handle,"@402015 Since we don't have access to your Amazon account through Twitter, please reach out to us here and we'll be glad to further investigate this issue for you: https://t.co/hApLpMlfHN",grounded in 3 past replies (best sim 0.75),4,Relevant support escalation path for missing notification.
46,@AmazonHelp I am not a very happy customer right now. Twice this week alone orders have been out on delievery to then not be delievered! Wasted a day waiting!,support_process_complaint,auto_handle,"@223131 I'm very sorry to hear you haven't received your order as promised! This certainly isn't what we strive for and we want to help you look further into what's going on. Just to confirm, which Amazon marketplace did you order from? (.com, .co.uk, .es)",grounded in 3 past replies (best sim 0.79),2,Misclassifies a clear delivery problem as support-process and asks an unnecessary marketplace question.
47,Don't know why #OnePlus5T box has many damages!! 😧 Shipping issues? Or from manufacturer? https://t.co/x3xTNxPoFI,support_process_complaint,auto_handle,"@220247 I understand your concern. In case, the order is not delivered, you may request to cancel the order and place a new order for oneplus 5t. For further concerns please contact our support team here: https://t.co/vlvfJrlYEH.",grounded in 3 past replies (best sim 0.68),1,Unrelated cancellation advice; customer is asking about damaged packaging.
48,@AmazonHelp No? Still says out for delivery arriving today.,delivery_issue,auto_handle,@229467 Does your order still show as 'out for delivery'?,grounded in 3 past replies (best sim 0.76),5,Directly engages with the stated tracking status and is concise.
49,"@AmazonHelp What do you do when Amazon.fr never calls you back, https://t.co/KhW7YPXS0E tells you you are not located in US ?",support_process_complaint,auto_handle,"@256949 Please reach out to us: https://t.co/rS49hgaADF &gt; you may login to your amazon.in account &gt; select issue codes &gt; choose from chat / phone / email options, if selecting phone option &gt; provide us your number &gt; choose from 'call now' or 'call me in 5 minutes.",grounded in 3 past replies (best sim 0.70),4,"Provides a concrete support route, though it assumes an India account despite the Amazon.fr context."
50,"I live in Lenexa, KS and whenever I ask about the weather, Alexa gets distracted hearing herself say her own name. https://t.co/ueZcAACTAu",support_process_complaint,escalate,[NO REPLY — ESCALATED],not drafted (escalated),4,Escalation is reasonable for an Alexa/device-specific technical issue outside the taxonomy.
